Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Total natural resources rents (% of GDP),Kazakhstan,7.601144567,10.39918751,11.68830959,23.08528068,30.28175845,33.24802525,25.76882054,17.25008026,14.8975964,12.8406952
Total natural resources rents (% of GDP),Kenya,6.771410783,5.490762576,3.268707204,3.739543912,4.07693604,3.638868734,2.943187283,2.643109436,2.314356208,1.268811969
Total natural resources rents (% of GDP),Kiribati,0.043704231,0.07062083,0.02724379,0.037743302,0.027920894,0.070983508,0.073613884,0.088905078,0.092951961,0.056993908
Total natural resources rents (% of GDP),"Korea, Dem. People's Rep.",0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),"Korea, Rep.",0.017689522,0.022905369,0.028948787,0.03190986,0.035149387,0.075340229,0.091417599,0.064073578,0.038602274,0.113270923
Total natural resources rents (% of GDP),Kosovo,0,0,0,0,0,3.469748109,2.419558365,0.522780519,0.559517102,0.405629884
Total natural resources rents (% of GDP),Kuwait,40.40870245,41.17919533,34.83657357,38.12881685,54.13842958,53.46051122,59.06969602,53.97142231,36.75793361,29.2848673
Total natural resources rents (% of GDP),Kyrgyz Republic,0.901655183,0.768717274,3.385288454,3.309616578,3.099698979,4.301596102,10.20343192,4.072035158,8.755741164,6.527580101
Total natural resources rents (% of GDP),Lao PDR,6.099637315,8.524488782,5.134131241,4.810896121,6.597958878,13.01843107,15.2722808,8.129849131,4.970882335,2.81746695
Total natural resources rents (% of GDP),Latvia,0,2.535844732,2.830414835,1.739877168,1.321147997,0.70956436,1.332772537,1.131043524,1.207221081,1.274587117
Total natural resources rents (% of GDP),Lebanon,0.008071182,0.008876184,0.00147159,0.001372922,0.001376234,0.001896636,0.001934982,0.002293761,0.001995556,0.002237188
Total natural resources rents (% of GDP),Lesotho,2.447050439,4.428669827,3.372532387,4.649729896,3.460657878,5.459041257,3.889513809,5.590522285,6.297738881,4.555484951
Total natural resources rents (% of GDP),Liberia,0,0,0,23.89977042,20.05440681,21.767383,23.2729659,26.18063678,21.32405632,17.46616545
Total natural resources rents (% of GDP),Libya,22.89335225,31.89508258,20.20272504,49.615094,62.33474047,66.05989355,37.56173207,31.01694783,22.15876048,11.47898313
Total natural resources rents (% of GDP),Liechtenstein,0.008652975,0.007275316,0.002008982,0.009402943,0.006604211,0.010923511,0.008172891,0.005992884,0.001865069,0.001471467
Total natural resources rents (% of GDP),Lithuania,0,1.395658613,0.835114129,0.809312519,0.590099054,0.439415087,0.552724417,0.435666728,0.408008847,0.310782585
Total natural resources rents (% of GDP),Luxembourg,0.022890253,0.018931759,0.017443228,0.017252678,0.009842586,0.176060661,0.111627781,0.051124777,0.009609571,0.006663598
Total natural resources rents (% of GDP),"Macao SAR, China",0.001434625,0.002722457,0.001147013,0.001292949,0.00081329,0.001346906,0.000918692,0.000707755,0.000816577,0.000923619
Total natural resources rents (% of GDP),Madagascar,4.268077021,6.100998542,3.511133042,3.505345792,5.465525598,5.809365378,5.895441672,7.178903348,7.639736314,5.659505247
Total natural resources rents (% of GDP),Malawi,6.982406366,10.64062762,9.904288331,5.806948895,6.824501978,8.727026594,5.9768772,9.618463019,7.003718628,4.099281703
Total natural resources rents (% of GDP),Malaysia,17.30027554,12.71248649,10.0710448,9.815486715,13.88427652,13.38677191,9.944906169,8.645073995,6.236000427,4.54156532
Total natural resources rents (% of GDP),Maldives,0.012221237,0.011195905,0.007523181,0.005344647,0.00491991,0.005554853,0.009071134,0.005174962,0.005250919,0.00502407
Total natural resources rents (% of GDP),Mali,4.028983743,6.179857496,3.852472391,6.812560495,2.791484798,6.919733216,8.910115596,7.248920904,7.816146689,9.469677101
Total natural resources rents (% of GDP),Malta,0,0,0,0,0.010736353,0.006713379,0,0,0,0
Total natural resources rents (% of GDP),Marshall Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Mauritania,3.649546626,4.040422411,3.398476011,7.673552403,19.38632188,38.39546888,30.85044181,13.18053556,9.096592771,2.43870904
Total natural resources rents (% of GDP),Mauritius,0.025573342,0.013935148,0.020208179,0.011318512,0.006576066,0.008571628,0.113949424,0.083543378,0.003392522,0.002629961
Total natural resources rents (% of GDP),Mexico,2.321691449,4.114738505,2.373623009,2.748409035,5.586487276,6.740832992,7.1268565,4.74356173,2.361488965,1.559833784
Total natural resources rents (% of GDP),"Micronesia, Fed. Sts.",0.00764339,0.017143749,0.007072322,0.009733101,0.010684534,0.031993485,0.035425434,0.040600328,0.038532007,0.020073072
Total natural resources rents (% of GDP),Moldova,0,0.292635675,0.351298723,0.227964199,0.194137366,0.22497712,0.168687808,0.305194558,0.26053445,0.245939853
Total natural resources rents (% of GDP),Monaco,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Mongolia,8.435499868,6.759094408,3.293868858,4.498991715,16.78458805,30.73706939,42.21665439,16.08653422,17.08839997,13.47369288
Total natural resources rents (% of GDP),Montenegro,0,0,0,0,0.642225982,1.50265002,1.443687593,0.781260838,1.33941998,0.723002994
Total natural resources rents (% of GDP),Morocco,0.311874824,0.380019625,0.278907298,0.194633366,0.73918961,6.013564029,7.440066633,3.526797718,3.299898963,0.296128237
Total natural resources rents (% of GDP),Mozambique,11.45942177,14.47187458,5.935726712,7.15607959,7.518083005,10.2039174,11.3709466,11.90390285,18.05104108,11.86393613
Total natural resources rents (% of GDP),Myanmar,20.08509271,16.98860998,9.293726905,17.40191897,18.78204886,13.96412005,7.361463351,7.88242876,7.820103717,4.663014268
Total natural resources rents (% of GDP),Namibia,0.48306518,0.63507659,0.532666647,0.598634291,1.182771314,2.251039126,2.071941382,1.641535638,3.355794,1.930293839
Total natural resources rents (% of GDP),Nauru,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Nepal,1.523479997,1.326249218,1.394818469,1.141820375,0.805920859,1.074371077,1.116801328,0.860719086,0.703261897,0.522630901
Total natural resources rents (% of GDP),Netherlands,0.34602761,0.485584008,0.071479287,0.552503607,0.345526753,1.04292054,1.020627849,0.689866623,0.28356478,0.083744035
Total natural resources rents (% of GDP),New Caledonia,4.570050804,9.608988745,1.870019687,4.517671607,8.142948905,2.611263519,4.130804101,0.012679765,0.017131783,0.012715672
Total natural resources rents (% of GDP),New Zealand,2.113857938,1.640173206,1.53777874,1.741998032,1.236029646,2.362691747,2.194273623,1.429144352,1.59353965,1.272467211
Total natural resources rents (% of GDP),Nicaragua,3.271264171,1.550993381,1.421204261,1.14157989,1.113979781,1.481914362,5.120651087,4.221183468,2.702958227,1.658128642
Total natural resources rents (% of GDP),Niger,3.981172189,9.40913899,5.855963474,7.012953086,7.208522729,7.945638982,8.147711756,10.27305313,9.379290426,5.568264036
Total natural resources rents (% of GDP),Nigeria,34.26950222,21.41451278,13.04362918,13.60481666,19.38756772,17.59026124,17.55390356,8.781935524,7.804984924,5.074840025
Total natural resources rents (% of GDP),North Macedonia,0.754144903,0.361260336,0.345663488,0.248652297,0.472471663,0.949977278,1.319012174,1.186028474,0.804308287,0.14496333
Total natural resources rents (% of GDP),Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Norway,5.693596412,8.043483025,5.37886119,8.807033688,10.49242307,12.61767226,10.03239194,7.517449921,5.335903477,4.181286896
Total natural resources rents (% of GDP),Oman,32.40673919,37.14482372,32.3229407,36.51565632,46.29109622,40.50202711,43.27381429,34.3485238,21.35376532,18.88666356
Total natural resources rents (% of GDP),Pakistan,1.079638655,1.339079442,1.504201626,2.200007126,2.891166761,2.301859265,2.6157598,1.995346885,1.106806836,1.12387027
Total natural resources rents (% of GDP),Palau,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Panama,0.186976706,0.174799664,0.138366747,0.123117308,0.098719574,0.109519194,0.269868831,0.231601531,0.124276366,0.535097866
Total natural resources rents (% of GDP),Papua New Guinea,22.42832099,20.95803705,17.36505638,19.84830103,31.20203814,25.36114198,26.26808895,14.02772535,16.04363409,11.94172547
Total natural resources rents (% of GDP),Paraguay,2.652038016,2.226084013,1.758115957,2.068079791,1.648871747,1.536709934,1.671875323,1.685797109,1.684839137,1.682633255
Total natural resources rents (% of GDP),Peru,2.26467554,2.804739522,2.054351855,2.004866203,7.823228629,12.02589738,12.76659491,5.662928217,5.896256395,3.979614488
Total natural resources rents (% of GDP),Philippines,0.539652099,0.566314498,0.350020818,0.559004078,0.891170286,1.523406998,2.843673209,1.508965093,0.964596437,0.76411279
Total natural resources rents (% of GDP),Poland,1.253378598,0.836661886,0.411421201,0.565655329,1.168820237,2.047753996,5.714163479,3.157677038,3.061460965,0.535468929
Total natural resources rents (% of GDP),Portugal,0.247523199,0.176788595,0.105493668,0.116829504,0.164403581,0.240482695,0.244908396,0.204731494,0.191626692,0.200282467
Total natural resources rents (% of GDP),Puerto Rico,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Qatar,31.06798457,40.45222542,38.30171775,37.90537795,43.62080304,36.92803595,36.71824261,27.69781447,18.89867239,20.22595932
Total natural resources rents (% of GDP),Romania,3.694095961,3.346681559,1.695870512,2.711200316,1.981270869,2.123045312,2.288176449,1.510172814,0.884924036,0.508984051
Total natural resources rents (% of GDP),Russian Federation,7.619837902,10.49266914,11.82956649,16.98119638,17.41658497,19.1049787,16.26756007,12.42719789,9.715466239,7.58812544
Total natural resources rents (% of GDP),Rwanda,4.955066413,12.5562104,6.481645233,6.437769359,5.957025393,8.305801452,6.995656803,6.452155036,6.014929715,4.104818451
Total natural resources rents (% of GDP),Samoa,2.615330725,1.851564871,1.081164769,0.567747941,0.311289652,0.468263247,0.479148651,0.514371821,0.482469411,0.301640791
Total natural resources rents (% of GDP),San Marino,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Sao Tome and Principe,0,0,0,3.204343658,2.745231955,3.51834389,3.822219225,3.047234923,3.152397827,1.980189397
Total natural resources rents (% of GDP),Saudi Arabia,30.48615288,34.3754117,27.97787491,32.43799366,49.9329268,55.02442895,50.2036438,41.33843001,24.48655576,17.31842703
Total natural resources rents (% of GDP),Senegal,1.716628618,3.027617946,2.118280252,2.28948973,1.991625764,3.072427216,3.649594077,3.156947652,3.212325285,2.869631901
Total natural resources rents (% of GDP),Serbia,0,0.527409242,0.311891671,0.628709984,1.243463022,2.851015424,3.350446414,1.894423026,1.52263044,0.947608509
Total natural resources rents (% of GDP),Seychelles,0.101569572,0.111417504,0.074436831,0.104835241,0.090949643,0.17845383,0.149780681,0.122451367,0.116712863,0.131486176
Total natural resources rents (% of GDP),Sierra Leone,11.78351386,14.60821706,13.36825773,8.435525022,9.902002097,11.61157957,10.98695877,8.027712441,14.93653067,8.229781942
Total natural resources rents (% of GDP),Singapore,0.000671957,0.000831818,0.000371765,0.000433988,0.000547061,0.025386566,0.154301445,0.104879469,0.000452889,0.000242072
Total natural resources rents (% of GDP),Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),Slovak Republic,0.830401182,0.489853876,0.356253004,0.257190616,0.320443992,0.384452094,0.359867998,0.288569283,0.333116894,0.219233025
Total natural resources rents (% of GDP),Slovenia,0,0.193183541,0.13132952,0.137442312,0.184333377,0.393053205,0.359899713,0.264570915,0.268545994,0.214171559
Total natural resources rents (% of GDP),Solomon Islands,8.832062096,9.176283523,6.230575897,7.110439952,8.979229229,18.63148549,19.90271245,20.64168713,22.91928964,19.19388889
Total natural resources rents (% of GDP),Somalia,0,0,0,0,0,0,0,18.29219176,18.69726966,11.4552848
Total natural resources rents (% of GDP),South Africa,4.453499643,4.642700903,2.488590508,4.679233923,4.568492466,11.99005804,7.814660742,4.665734199,3.835585666,4.01777511
Total natural resources rents (% of GDP),South Sudan,0,0,0,0,0,58.27766014,51.78685866,28.45700494,0,0
Total natural resources rents (% of GDP),Spain,0.068426965,0.05972824,0.039290872,0.045937933,0.036512986,0.065176881,0.065256205,0.060647751,0.053065607,0.038121605
Total natural resources rents (% of GDP),Sri Lanka,0.442217812,0.353077483,0.214152119,0.20378794,0.124198914,0.168491008,0.161869002,0.10671623,0.088876538,0.085040098
Total natural resources rents (% of GDP),St. Kitts and Nevis,0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),St. Lucia,0.011096749,0.011486578,0.01022789,0.009763686,0.008546423,0.010641917,0.017173383,0.025443655,0.01886802,0.019360169
Total natural resources rents (% of GDP),St. Martin (French part),0,0,0,0,0,0,0,0,0,0
Total natural resources rents (% of GDP),St. Vincent and the Grenadines,0.02710482,0.025598694,0.022043064,0.015180126,0.013406346,0.016151437,0.028465454,0.042394607,0.032982889,0.025646437
Total natural resources rents (% of GDP),Sudan,0.01333271,0.274840736,2.114611803,7.222835316,12.48022875,17.9797789,16.77590731,5.174237752,2.480295123,9.292652381
Total natural resources rents (% of GDP),Suriname,16.34796247,10.65040165,7.921119398,7.868037051,15.20044742,15.96753619,31.93355941,13.34549104,19.7854729,4.601228638
Total natural resources rents (% of GDP),Sweden,0.382328611,0.30450722,0.271024961,0.321564907,0.436646674,0.65320844,1.695769557,0.908726777,1.046023978,0.370599691
Total natural resources rents (% of GDP),Switzerland,0.020539906,0.018409268,0.017012446,0.017487447,0.014609792,0.017087778,0.012973179,0.013393911,0.009795588,0.008027853
Total natural resources rents (% of GDP),Syrian Arab Republic,7.549761515,6.029053809,4.485049266,5.48864249,5.534881987,5.639885528,20.35360542,5.741371026,3.11485463,6.37482598
Total natural resources rents (% of GDP),Tajikistan,0.586346091,0.911480712,0.617502657,0.870841445,0.573554956,0.836114282,2.037532188,2.193319963,4.547785252,5.135134884
Total natural resources rents (% of GDP),Tanzania,10.72643035,11.29902289,3.768207439,4.857473581,4.993588131,5.076595135,7.33646178,5.046905593,5.136167595,3.85169508
Total natural resources rents (% of GDP),Thailand,0.728072272,0.884654105,1.102010891,1.744325621,2.84717141,3.623097044,3.147099982,2.822827174,1.632152607,1.109568396
Total natural resources rents (% of GDP),Timor-Leste,0,0,0,0.385732112,0,0,0,0,44.87051658,34.39329689
Total natural resources rents (% of GDP),Togo,7.361441255,11.25173023,6.801665615,6.848156721,6.87103076,15.15456273,17.92481057,13.3950716,7.777338358,4.731685722
Total natural resources rents (% of GDP),Tonga,0.078301781,0.063568937,0.029418364,0.035662475,0.024015632,0.055629223,0.047841958,0.052155805,0.054090444,0.039044071
Total natural resources rents (% of GDP),Trinidad and Tobago,12.35469065,13.99945437,10.48937356,11.89828605,16.06703866,15.27103399,21.19020578,15.59878282,5.7613773,5.882154765
Total natural resources rents (% of GDP),Tunisia,3.593247249,3.081550167,2.335245204,2.841570687,4.330976282,9.880120989,6.260023726,4.594137599,2.510259727,1.467172306
Total natural resources rents (% of GDP),Turkiye,0.357725427,0.375047057,0.183061334,0.208352788,0.24655561,0.622799886,1.155990369,0.515494221,0.379263395,0.397202384
